AppName,RelPath,File,SourceCategory,SourceKind,Line,Func,QueryHash,ObjectName,DbName,SchemaName,BaseName,IsCrossDb,IsLinkedServer,Role,DmlKind,IsWrite,IsObjectNameDynamic,IsPseudoObject,PseudoKind
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,3010,SendCustomerToMurex,75a1ffd3e215f75c41844df33e9571c4c2d71f95,dbo.TreasuryCustomerLog_TH,,dbo,TreasuryCustomerLog_TH,false,false,target,INSERT,true,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,3010,SendCustomerToMurex,75a1ffd3e215f75c41844df33e9571c4c2d71f95,dbo.TreasuryCustomerPending_TM,,dbo,TreasuryCustomerPending_TM,false,false,mixed,DELETE;SELECT,true,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,3010,SendCustomerToMurex,75a1ffd3e215f75c41844df33e9571c4c2d71f95,dbo.TreasuryCustomer_TM,,dbo,TreasuryCustomer_TM,false,false,mixed,DELETE;SELECT,true,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,3010,SendCustomerToMurex,75a1ffd3e215f75c41844df33e9571c4c2d71f95,dbo.edBy,,dbo,edBy,false,false,target,INSERT,true,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,3010,SendCustomerToMurex,75a1ffd3e215f75c41844df33e9571c4c2d71f95,dbo.edDate,,dbo,edDate,false,false,target,INSERT,true,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,3053,SendCustomerToMurex,829e30d2ed137a41defc3a465e6c3746bc753ccf,dbo.<dynamic-sql>,,dbo,<dynamic-sql>,false,false,source,UNKNOWN,false,false,true,dynamic-sql
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,3112,SendCustomerToMurex,829e30d2ed137a41defc3a465e6c3746bc753ccf,dbo.<dynamic-sql>,,dbo,<dynamic-sql>,false,false,source,UNKNOWN,false,false,true,dynamic-sql
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,3189,WITH,829e30d2ed137a41defc3a465e6c3746bc753ccf,dbo.<dynamic-sql>,,dbo,<dynamic-sql>,false,false,source,UNKNOWN,false,false,true,dynamic-sql
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,3317,WITH,829e30d2ed137a41defc3a465e6c3746bc753ccf,dbo.<dynamic-sql>,,dbo,<dynamic-sql>,false,false,source,UNKNOWN,false,false,true,dynamic-sql
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,3414,WITH,829e30d2ed137a41defc3a465e6c3746bc753ccf,dbo.<dynamic-sql>,,dbo,<dynamic-sql>,false,false,source,UNKNOWN,false,false,true,dynamic-sql
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,3546,clsAPIServiceNTI.cs@L3546,829e30d2ed137a41defc3a465e6c3746bc753ccf,dbo.<dynamic-sql>,,dbo,<dynamic-sql>,false,false,source,UNKNOWN,false,false,true,dynamic-sql
dotnet-sample,clsAntasenaService.cs,clsAntasenaService.cs,code,csharp,301,SqlParameter,c170923a17a50c54b4343ff7dea78c8ba9e57320,dbo.<dynamic-object>,,dbo,<dynamic-object>,false,false,mixed,INSERT;SELECT,true,true,true,dynamic-object
dotnet-sample,clsAntasenaService.cs,clsAntasenaService.cs,code,csharp,301,SqlParameter,c170923a17a50c54b4343ff7dea78c8ba9e57320,dbo.openxml,,dbo,openxml,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsAntasenaService.cs,clsAntasenaService.cs,code,csharp,301,SqlParameter,c170923a17a50c54b4343ff7dea78c8ba9e57320,dbo.sp_xml_preparedocument,,dbo,sp_xml_preparedocument,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsAntasenaService.cs,clsAntasenaService.cs,code,csharp,301,SqlParameter,c170923a17a50c54b4343ff7dea78c8ba9e57320,dbo.tr,,dbo,tr,false,false,source,SELECT,false,false,false,
