AppName,RelPath,File,Func,QueryHash,FullObjectName,DbName,SchemaName,BaseName,Role,DmlKind,IsWrite,IsCrossDb,IsPseudoObject,PseudoKind,SourceCategory,SourceKind,Line,IsLinkedServer,IsObjectNameDynamic
golang-sample,go2/query.go,query.go,go2/query.go@L39,15812541241712f68d875099dfea8528a3b6d2d9,dbo.VLSTransactionsToday_TR,,dbo,VLSTransactionsToday_TR,source,SELECT,false,false,false,,code,go,39,false,false
golang-sample,go2/query.go,query.go,go2/query.go@L6,ec48f6a85bebfa68697cbf359591dc7236012989,dbo.control_table,,dbo,control_table,source,SELECT,false,false,false,,code,go,6,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,BancaMTranAAJIAAUI_TT,40e6cee30f138879b9bbf765034eecbe38509830,dbo.BancaMTranAAJIAAUI_TT,,dbo,BancaMTranAAJIAAUI_TT,target,UPDATE,true,false,false,,code,go,624,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,CheckNIKIfNotRegisterOnPeopleSoftFromPSEmployeev,4b9a303582b4b4c3d18e0003684205396626dc65,dbo.PSEmployee_v,,dbo,PSEmployee_v,source,SELECT,false,false,false,,code,go,232,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,CheckNIKIsRegisterFromBancaNoAAJITM,fd1a1930e24a57581233cced7b600fb3a7532586,dbo.BancaNoAAUI_TM,,dbo,BancaNoAAUI_TM,source,SELECT,false,false,false,,code,go,259,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,CheckTransactionIsExistByNIKANDStatusFromBancaMTranAAJIAAUITT,6a9b6cbbda4215209f8e66506e51c4599a944c83,dbo.BancaMTranAAJIAAUI_TT,,dbo,BancaMTranAAJIAAUI_TT,source,SELECT,false,false,false,,code,go,286,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,DeleteBatchIdFromBancaMTranAAJIAAUITT,8594b37a90090ac9fe85b2a291a6b0de2d13af73,dbo.BancaMTranAAJIAAUI_TT,,dbo,BancaMTranAAJIAAUI_TT,target,DELETE,true,false,false,,code,go,223,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetAAJIFromBancaMTranAAJIAAUITTByNIKANDStatus,38b49f9e9e79067f1a6393fd7ddfa549edd71110,dbo.BancaMTranAAJIAAUI_TT,,dbo,BancaMTranAAJIAAUI_TT,source,SELECT,false,false,false,,code,go,318,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetAAUIFromBancaMTranAAJIAAUITTByNIKANDStatus,1e9fc266b76447f90ff40fafeb8833fb11a623cf,dbo.BancaMTranAAJIAAUI_TT,,dbo,BancaMTranAAJIAAUI_TT,source,SELECT,false,false,false,,code,go,350,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetBancaNoAAJITMByDate,358565cf171c294ee28871df70e810d17a108710,dbo.BancaNoAAJI_TM,,dbo,BancaNoAAJI_TM,source,SELECT,false,false,false,,code,go,396,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetBancaNoAAJITMByDate,358565cf171c294ee28871df70e810d17a108710,dbo.BancaNoAAUI_TM,,dbo,BancaNoAAUI_TM,source,SELECT,false,false,false,,code,go,396,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetBancaNoAAJITMByNIKDate,0cab116e21ae25f0b619e6c18a8a2abbf875d117,dbo.BancaNoAAJI_TM,,dbo,BancaNoAAJI_TM,source,SELECT,false,false,false,,code,go,453,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetBancaNoAAJITMByNIKDate,0cab116e21ae25f0b619e6c18a8a2abbf875d117,dbo.BancaNoAAUI_TM,,dbo,BancaNoAAUI_TM,source,SELECT,false,false,false,,code,go,453,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetDataFromAAJITM,41a812fb9c3eb3d6aa3702815bb7fc8d118744c7,dbo.BancaNoAAJI_TM,,dbo,BancaNoAAJI_TM,source,SELECT,false,false,false,,code,go,126,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetDataFromAAJITM,41a812fb9c3eb3d6aa3702815bb7fc8d118744c7,dbo.BancaNoAAUI_TM,,dbo,BancaNoAAUI_TM,source,SELECT,false,false,false,,code,go,126,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetDataFromAAUITM,72ddba4adcb68f8dcfc1051e3f587611813f41fd,dbo.BancaNoAAJI_TM,,dbo,BancaNoAAJI_TM,source,SELECT,false,false,false,,code,go,186,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetDataFromAAUITM,72ddba4adcb68f8dcfc1051e3f587611813f41fd,dbo.BancaNoAAUI_TM,,dbo,BancaNoAAUI_TM,source,SELECT,false,false,false,,code,go,186,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetLastInsertedBatchId,021cb023b31036c7991162b665f49770ba018d0a,dbo.BancaMTranAAJIAAUI_TT,,dbo,BancaMTranAAJIAAUI_TT,exec,EXEC,true,false,false,,code,go,490,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetNIKFromBancaNoAAJITMByAAUIANDNIK,cf88a0ebea8bf362757fa0bc3aaf9abd546c4d4a,dbo.BancaNoAAUI_TM,,dbo,BancaNoAAUI_TM,source,SELECT,false,false,false,,code,go,506,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetNIKFromBancaNoAAUITMByAAJIANDNIK,a6de6b7a9e8e75b86bed7c4064b9d637f5a30c5e,dbo.BancaNoAAJI_TM,,dbo,BancaNoAAJI_TM,source,SELECT,false,false,false,,code,go,538,false,false
