AppName,RelPath,Func,LineStart,LineEnd,TotalQueries,TotalSelect,TotalInsert,TotalUpdate,TotalDelete,TotalTruncate,TotalExec,TotalWrite,TotalDynamic,TotalDynamicSql,TotalDynamicObject,DynamicCount,DynamicSignatures,DynamicReason,TotalObjects,TopObjects,ObjectsUsed,HasCrossDb,DbList,TopObjectsShort,DynamicPseudoKinds,DynamicExampleSignatures
golang-sample,go1/source.go,ExecuteSPMurexConfoMK,41,41,1,0,0,0,0,0,0,0,1,1,0,1,go1/source.go|ExecuteSPMurexConfoMK|go@41 x1 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql,1,"[P] <dynamic-sql>(read); <dynamic-sql>(n=1, line=41, usage=UNKNOWN)","[P] <dynamic-sql>(exec/write/read); <dynamic-sql>(n=1, line=41, usage=UNKNOWN)",false,,"[P] <dynamic-sql>(read); <dynamic-sql>(n=1, line=41, usage=UNKNOWN)",dynamic-sql(1),Line41:EXEC <dynamic-sql>
golang-sample,go1/source.go,GetMK005A,93,93,1,0,0,0,0,0,0,0,1,1,0,1,go1/source.go|GetMK005A|go@93 x1 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql,1,"[P] <dynamic-sql>(read); <dynamic-sql>(n=1, line=93, usage=UNKNOWN)","[P] <dynamic-sql>(exec/write/read); <dynamic-sql>(n=1, line=93, usage=UNKNOWN)",false,,"[P] <dynamic-sql>(read); <dynamic-sql>(n=1, line=93, usage=UNKNOWN)",dynamic-sql(1),Line93:EXEC <dynamic-sql>
golang-sample,go1/source.go,GetMK005AConfo,82,82,1,0,0,0,0,0,0,0,1,1,0,1,go1/source.go|GetMK005AConfo|go@82 x1 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql,1,"[P] <dynamic-sql>(read); <dynamic-sql>(n=1, line=82, usage=UNKNOWN)","[P] <dynamic-sql>(exec/write/read); <dynamic-sql>(n=1, line=82, usage=UNKNOWN)",false,,"[P] <dynamic-sql>(read); <dynamic-sql>(n=1, line=82, usage=UNKNOWN)",dynamic-sql(1),Line82:EXEC <dynamic-sql>
golang-sample,go1/source.go,GetMK006A,61,61,1,0,0,0,0,0,0,0,1,1,0,1,go1/source.go|GetMK006A|go@61 x1 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql,1,"[P] <dynamic-sql>(read); <dynamic-sql>(n=1, line=61, usage=UNKNOWN)","[P] <dynamic-sql>(exec/write/read); <dynamic-sql>(n=1, line=61, usage=UNKNOWN)",false,,"[P] <dynamic-sql>(read); <dynamic-sql>(n=1, line=61, usage=UNKNOWN)",dynamic-sql(1),Line61:EXEC <dynamic-sql>
golang-sample,go1/source.go,GetMK006AConfo,51,51,1,0,0,0,0,0,0,0,1,1,0,1,go1/source.go|GetMK006AConfo|go@51 x1 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql,1,"[P] <dynamic-sql>(read); <dynamic-sql>(n=1, line=51, usage=UNKNOWN)","[P] <dynamic-sql>(exec/write/read); <dynamic-sql>(n=1, line=51, usage=UNKNOWN)",false,,"[P] <dynamic-sql>(read); <dynamic-sql>(n=1, line=51, usage=UNKNOWN)",dynamic-sql(1),Line51:EXEC <dynamic-sql>
golang-sample,go1/source.go,GetMurexAvgPrice,71,71,1,0,0,0,0,0,0,0,1,1,0,1,go1/source.go|GetMurexAvgPrice|go@71 x1 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql,1,"[P] <dynamic-sql>(read); <dynamic-sql>(n=1, line=71, usage=UNKNOWN)","[P] <dynamic-sql>(exec/write/read); <dynamic-sql>(n=1, line=71, usage=UNKNOWN)",false,,"[P] <dynamic-sql>(read); <dynamic-sql>(n=1, line=71, usage=UNKNOWN)",dynamic-sql(1),Line71:EXEC <dynamic-sql>
golang-sample,go1/source.go,ValidateMKData,112,112,1,0,0,0,0,0,1,1,0,0,0,0,,,1,MKValidateData(exec),MKValidateData(exec/write/read x2),false,,MKValidateData(exec),,
golang-sample,go2/impl.go,GetBIRates,34,34,1,1,0,0,0,0,0,0,0,0,0,0,,,1,SIBSCurrencyTable_TM(read),SIBSCurrencyTable_TM(exec/write/read),false,,SIBSCurrencyTable_TM(read),,
golang-sample,go2/impl.go,GetCFCOUN,30,30,1,1,0,0,0,0,0,0,0,0,0,0,,,1,CFMAST(read),CFMAST(exec/write/read),false,,CFMAST(read),,
golang-sample,go2/impl.go,GetCurrWorkingDate,26,26,1,1,0,0,0,0,0,0,0,0,0,0,,,1,control_table(read),control_table(exec/write/read),false,,control_table(read),,
