AppName,RelPath,Func,LineStart,LineEnd,TotalQueries,TotalSelect,TotalInsert,TotalUpdate,TotalDelete,TotalTruncate,TotalExec,TotalWrite,TotalDynamic,DynamicRawCount,TotalDynamicSql,TotalDynamicObject,DynamicSqlCount,DynamicObjectCount,DynamicCount,DynamicSignatures,DynamicReason,TotalObjects,TotalObjectsRead,TotalObjectsWrite,TotalObjectsExec,TopObjectsRead,TopObjectsWrite,TopObjectsExec,ObjectsUsed,HasCrossDb,DbList,DynamicPseudoKinds,DynamicExampleSignatures
dotnet-sample,FLDModel.cs,CekRekeningTaxAmnestyFLD,1096,1096,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|CekRekeningTaxAmnestyFLD|ExecProc@1096 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(64),[P] <dynamic-sql>(64),[P] <dynamic-sql>(write=64/exec=64),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|CekRekeningTaxAmnestyFLD|ExecProc@1096 x2
dotnet-sample,FLDModel.cs,CekTanggalFLD,668,668,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|CekTanggalFLD|ExecProc@668 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(64),[P] <dynamic-sql>(64),[P] <dynamic-sql>(write=64/exec=64),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|CekTanggalFLD|ExecProc@668 x2
dotnet-sample,FLDModel.cs,CheckCurrency,217,217,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|CheckCurrency|ExecProc@217 x2 (example=013443c89b208a0e1ccd6112d040052a5dc96768),dynamic object name x2; dynamic sql x2,2,0,2,2,,[P] <dynamic-object>(1); TRSCheckCurrency(1),[P] <dynamic-object>(1); TRSCheckCurrency(1),[P] <dynamic-object>(write=1/exec=1); TRSCheckCurrency(write=1/exec=1),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|CheckCurrency|ExecProc@217 x2
dotnet-sample,FLDModel.cs,CheckMxWorkingDate,1402,1402,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|CheckMxWorkingDate|ExecProc@1402 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(64),[P] <dynamic-sql>(64),[P] <dynamic-sql>(write=64/exec=64),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|CheckMxWorkingDate|ExecProc@1402 x2
dotnet-sample,FLDModel.cs,DeleteResetDataFLDBungaSpesial,2050,2050,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,FLDModel.cs|DeleteResetDataFLDBungaSpesial|ExecProc@2050 x1 (example=cd2e9f44eb50d27f20ff53d730510d32f342fff5),,1,0,1,1,,TRSDeleteParamFLDBungaSpesial(1),TRSDeleteParamFLDBungaSpesial(1),TRSDeleteParamFLDBungaSpesial(write=1/exec=1),false,,,
dotnet-sample,FLDModel.cs,FLDIsUsingALM,1484,1484,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,FLDModel.cs|FLDIsUsingALM|ExecProc@1484 x1 (example=aaddbe0dd040eebc225ca8ab2f5fa3c6b2ee9c6c),,1,0,1,1,,TRSFLDIsUsingALM(1),TRSFLDIsUsingALM(1),TRSFLDIsUsingALM(write=1/exec=1),false,,,
dotnet-sample,FLDModel.cs,FLDModel.cs@L1057,1057,1057,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|Exception|ExecProc@1057 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(64),[P] <dynamic-sql>(64),[P] <dynamic-sql>(write=64/exec=64),false,,dynamic-sql(2); dynamic-object(1),FLDModel.cs|Exception|ExecProc@1057 x2
dotnet-sample,FLDModel.cs,FLDModel.cs@L943,943,943,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|Exception|ExecProc@943 x2 (example=61df9f5bfd54d5b70c2c1c6c8be04a76300abe5b),dynamic object name x2; dynamic sql x2,2,0,2,2,,[P] <dynamic-object>(1); TRSSaveTransaksiFLD(1),[P] <dynamic-object>(1); TRSSaveTransaksiFLD(1),[P] <dynamic-object>(write=1/exec=1); TRSSaveTransaksiFLD(write=1/exec=1),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|Exception|ExecProc@943 x2
dotnet-sample,FLDModel.cs,FLDPopulateCounterCcyPair,2100,2100,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|FLDPopulateCounterCcyPair|ExecProc@2100 x2 (example=11fa2df1fe5a409995b50415ab5d926c91f6ea24),dynamic object name x2; dynamic sql x2,2,0,2,2,,[P] <dynamic-object>(1); FLDPopulateCounterCcyPair(1),[P] <dynamic-object>(1); FLDPopulateCounterCcyPair(1),[P] <dynamic-object>(write=1/exec=1); FLDPopulateCounterCcyPair(write=1/exec=1),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|FLDPopulateCounterCcyPair|ExecProc@2100 x2
dotnet-sample,FLDModel.cs,FLDPopulateFLDCurrency,2087,2087,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|FLDPopulateFLDCurrency|ExecProc@2087 x2 (example=455fe5551b0e5a548f1c153c5ea0b5377e74c61b),dynamic object name x2; dynamic sql x2,2,0,2,2,,[P] <dynamic-object>(1); FLDPopulateFLDCurrency(1),[P] <dynamic-object>(1); FLDPopulateFLDCurrency(1),[P] <dynamic-object>(write=1/exec=1); FLDPopulateFLDCurrency(write=1/exec=1),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|FLDPopulateFLDCurrency|ExecProc@2087 x2
dotnet-sample,FLDModel.cs,GetBlockAmount,1340,1340,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|GetBlockAmount|ExecProc@1340 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(64),[P] <dynamic-sql>(64),[P] <dynamic-sql>(write=64/exec=64),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|GetBlockAmount|ExecProc@1340 x2
dotnet-sample,FLDModel.cs,PopulateApprovalJobTitle,1722,1722,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|PopulateApprovalJobTitle|ExecProc@1722 x2 (example=6b0ec1aef971f7b25cb9101df57969383419540b),dynamic object name x2; dynamic sql x2,2,0,2,2,,[P] <dynamic-object>(1); TRSFLDPopulateApprovalJobTitle(1),[P] <dynamic-object>(1); TRSFLDPopulateApprovalJobTitle(1),[P] <dynamic-object>(write=1/exec=1); TRSFLDPopulateApprovalJobTitle(write=1/exec=1),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|PopulateApprovalJobTitle|ExecProc@1722 x2
dotnet-sample,FLDModel.cs,PopulateApprovalParamFLD,43,43,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|PopulateApprovalParamFLD|ExecProc@43 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(64),[P] <dynamic-sql>(64),[P] <dynamic-sql>(write=64/exec=64),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|PopulateApprovalParamFLD|ExecProc@43 x2
dotnet-sample,FLDModel.cs,PopulateApprovalSumberDana,2271,2271,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,FLDModel.cs|PopulateApprovalSumberDana|ExecProc@2271 x1 (example=b6669692a47c5406b9eb39a55a7975142ff87008),,1,0,1,1,,TRSPopulateSourceOfFundFLD(1),TRSPopulateSourceOfFundFLD(1),TRSPopulateSourceOfFundFLD(write=1/exec=1),false,,,
dotnet-sample,FLDModel.cs,PopulateApprovalTransaksiFLD,1218,1218,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|PopulateApprovalTransaksiFLD|ExecProc@1218 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(64),[P] <dynamic-sql>(64),[P] <dynamic-sql>(write=64/exec=64),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|PopulateApprovalTransaksiFLD|ExecProc@1218 x2
dotnet-sample,FLDModel.cs,PopulateBranchDummyFLD,1260,1260,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,FLDModel.cs|PopulateBranchDummyFLD|ExecProc@1260 x1 (example=331ec9f031f418ec46aec9dbc4167fc4a7494b85),,1,0,1,1,,TRSPopulateDataNasabahProduct(2),TRSPopulateDataNasabahProduct(2),TRSPopulateDataNasabahProduct(write=2/exec=2),false,,,
dotnet-sample,FLDModel.cs,PopulateBungaFTPParameter,252,252,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|PopulateBungaFTPParameter|ExecProc@252 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(64),[P] <dynamic-sql>(64),[P] <dynamic-sql>(write=64/exec=64),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|PopulateBungaFTPParameter|ExecProc@252 x2
dotnet-sample,FLDModel.cs,PopulateCcyFromCounter,308,308,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|PopulateCcyFromCounter|ExecProc@308 x2 (example=5a86a948190d99e16edc57c870ac55ae16cd9b39),dynamic object name x2; dynamic sql x2,2,0,2,2,,[P] <dynamic-object>(1); FLDPopulateCurrencyParamBungaFTP(1),[P] <dynamic-object>(1); FLDPopulateCurrencyParamBungaFTP(1),[P] <dynamic-object>(write=1/exec=1); FLDPopulateCurrencyParamBungaFTP(write=1/exec=1),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|PopulateCcyFromCounter|ExecProc@308 x2
dotnet-sample,FLDModel.cs,PopulateClusterParameter,328,328,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|PopulateClusterParameter|ExecProc@328 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(64),[P] <dynamic-sql>(64),[P] <dynamic-sql>(write=64/exec=64),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|PopulateClusterParameter|ExecProc@328 x2
dotnet-sample,FLDModel.cs,PopulateComboBoxCutOffTime,1826,1826,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|PopulateComboBoxCutOffTime|ExecProc@1826 x2 (example=05a19a218f318b3dac58a5163a60f77e7ed25963),dynamic object name x2; dynamic sql x2,2,0,2,2,,[P] <dynamic-object>(1); TRSPopulateComboBoxParamCutOffTime(1),[P] <dynamic-object>(1); TRSPopulateComboBoxParamCutOffTime(1),[P] <dynamic-object>(write=1/exec=1); TRSPopulateComboBoxParamCutOffTime(write=1/exec=1),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|PopulateComboBoxCutOffTime|ExecProc@1826 x2
dotnet-sample,FLDModel.cs,PopulateCurrencyParameter,294,294,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|PopulateCurrencyParameter|ExecProc@294 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(64),[P] <dynamic-sql>(64),[P] <dynamic-sql>(write=64/exec=64),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|PopulateCurrencyParameter|ExecProc@294 x2
dotnet-sample,FLDModel.cs,PopulateDataMature,2156,2156,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,FLDModel.cs|PopulateDataMature|ExecProc@2156 x1 (example=6c011b70cfe6835fb50f3afc9e25ebcc441ff895),,1,0,1,1,,FMCTPopulateDataMature(1),FMCTPopulateDataMature(1),FMCTPopulateDataMature(write=1/exec=1),false,,,
dotnet-sample,FLDModel.cs,PopulateDataNasabah,2232,2232,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,FLDModel.cs|PopulateDataNasabah|ExecProc@2232 x1 (example=331ec9f031f418ec46aec9dbc4167fc4a7494b85),,1,0,1,1,,TRSPopulateDataNasabahProduct(2),TRSPopulateDataNasabahProduct(2),TRSPopulateDataNasabahProduct(write=2/exec=2),false,,,
dotnet-sample,FLDModel.cs,PopulateDataParameterFLDDeposito,2020,2020,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|PopulateDataParameterFLDDeposito|ExecProc@2020 x2 (example=0c3b95ecb480542559ec691319ac91f84159c857),dynamic object name x2; dynamic sql x2,2,0,2,2,,[P] <dynamic-object>(1); TRSFLDPopulateParamBungaSpesial(1),[P] <dynamic-object>(1); TRSFLDPopulateParamBungaSpesial(1),[P] <dynamic-object>(write=1/exec=1); TRSFLDPopulateParamBungaSpesial(write=1/exec=1),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|PopulateDataParameterFLDDeposito|ExecProc@2020 x2
dotnet-sample,FLDModel.cs,PopulateDataParameterFLDDepositos,1629,1629,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|PopulateDataParameterFLDDepositos|ExecProc@1629 x2 (example=4886be86432dadc8c26a7e26d9282524e5a43863),dynamic object name x2; dynamic sql x2,2,0,2,2,,[P] <dynamic-object>(1); TRSFLDPopulateDataFLDDeposito(1),[P] <dynamic-object>(1); TRSFLDPopulateDataFLDDeposito(1),[P] <dynamic-object>(write=1/exec=1); TRSFLDPopulateDataFLDDeposito(write=1/exec=1),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|PopulateDataParameterFLDDepositos|ExecProc@1629 x2
dotnet-sample,FLDModel.cs,PopulateDataProduct,202,202,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,FLDModel.cs|PopulateDataProduct|ExecProc@202 x1 (example=d029aa174af8763addbc96c5bb4eefc15389b8f5),,1,0,1,1,,FMCT_PopulateParam(1),FMCT_PopulateParam(1),FMCT_PopulateParam(write=1/exec=1),false,,,
