AppName,RelPath,File,SourceCategory,SourceKind,Line,Func,QueryHash,ObjectName,DbName,SchemaName,BaseName,IsCrossDb,IsLinkedServer,Role,DmlKind,IsWrite,IsObjectNameDynamic
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,155,,19c8d45f263b4cff05ce871776081c4d676490ba,BancaNoAAJI_TM,,,BancaNoAAJI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,155,,19c8d45f263b4cff05ce871776081c4d676490ba,BancaNoAAUI_TM,,,BancaNoAAUI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,183,GetDataFromAAUITM,19c8d45f263b4cff05ce871776081c4d676490ba,BancaNoAAJI_TM,,,BancaNoAAJI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,183,GetDataFromAAUITM,19c8d45f263b4cff05ce871776081c4d676490ba,BancaNoAAUI_TM,,,BancaNoAAUI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,215,,8594b37a90090ac9fe85b2a291a6b0de2d13af73,BancaMTranAAJIAAUI_TT,,,BancaMTranAAJIAAUI_TT,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,215,,8594b37a90090ac9fe85b2a291a6b0de2d13af73,BancaMTranAAJIAAUI_TT,,,BancaMTranAAJIAAUI_TT,false,false,target,DELETE,true,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,220,DeleteBatchIdFromBancaMTranAAJIAAUITT,8594b37a90090ac9fe85b2a291a6b0de2d13af73,BancaMTranAAJIAAUI_TT,,,BancaMTranAAJIAAUI_TT,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,220,DeleteBatchIdFromBancaMTranAAJIAAUITT,8594b37a90090ac9fe85b2a291a6b0de2d13af73,BancaMTranAAJIAAUI_TT,,,BancaMTranAAJIAAUI_TT,false,false,target,DELETE,true,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,224,,4b9a303582b4b4c3d18e0003684205396626dc65,PSEmployee_v,,,PSEmployee_v,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,229,CheckNIKIfNotRegisterOnPeopleSoftFromPSEmployeev,4b9a303582b4b4c3d18e0003684205396626dc65,PSEmployee_v,,,PSEmployee_v,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,251,,fd1a1930e24a57581233cced7b600fb3a7532586,BancaNoAAUI_TM,,,BancaNoAAUI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,256,CheckNIKIsRegisterFromBancaNoAAJITM,fd1a1930e24a57581233cced7b600fb3a7532586,BancaNoAAUI_TM,,,BancaNoAAUI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,278,,6a9b6cbbda4215209f8e66506e51c4599a944c83,BancaMTranAAJIAAUI_TT,,,BancaMTranAAJIAAUI_TT,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,283,CheckTransactionIsExistByNIKANDStatusFromBancaMTranAAJIAAUITT,6a9b6cbbda4215209f8e66506e51c4599a944c83,BancaMTranAAJIAAUI_TT,,,BancaMTranAAJIAAUI_TT,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,305,,38b49f9e9e79067f1a6393fd7ddfa549edd71110,BancaMTranAAJIAAUI_TT,,,BancaMTranAAJIAAUI_TT,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,315,GetAAJIFromBancaMTranAAJIAAUITTByNIKANDStatus,38b49f9e9e79067f1a6393fd7ddfa549edd71110,BancaMTranAAJIAAUI_TT,,,BancaMTranAAJIAAUI_TT,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,337,,1e9fc266b76447f90ff40fafeb8833fb11a623cf,BancaMTranAAJIAAUI_TT,,,BancaMTranAAJIAAUI_TT,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,347,GetAAUIFromBancaMTranAAJIAAUITTByNIKANDStatus,1e9fc266b76447f90ff40fafeb8833fb11a623cf,BancaMTranAAJIAAUI_TT,,,BancaMTranAAJIAAUI_TT,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,369,,8121c8af7ca0ff58f16d025cb36b8770c85578f9,BancaNoAAJI_TM,,,BancaNoAAJI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,369,,8121c8af7ca0ff58f16d025cb36b8770c85578f9,BancaNoAAUI_TM,,,BancaNoAAUI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,393,GetBancaNoAAJITMByDate,8121c8af7ca0ff58f16d025cb36b8770c85578f9,BancaNoAAJI_TM,,,BancaNoAAJI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,393,GetBancaNoAAJITMByDate,8121c8af7ca0ff58f16d025cb36b8770c85578f9,BancaNoAAUI_TM,,,BancaNoAAUI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,425,,492edaf631dd771bc526aead7ee6279d70997822,BancaNoAAJI_TM,,,BancaNoAAJI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,425,,492edaf631dd771bc526aead7ee6279d70997822,BancaNoAAUI_TM,,,BancaNoAAUI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,450,GetBancaNoAAJITMByNIKDate,492edaf631dd771bc526aead7ee6279d70997822,BancaNoAAJI_TM,,,BancaNoAAJI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,450,GetBancaNoAAJITMByNIKDate,492edaf631dd771bc526aead7ee6279d70997822,BancaNoAAUI_TM,,,BancaNoAAUI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,482,,021cb023b31036c7991162b665f49770ba018d0a,BancaMTranAAJIAAUI_TT,,,BancaMTranAAJIAAUI_TT,false,false,exec,EXEC,true,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,487,GetLastInsertedBatchId,021cb023b31036c7991162b665f49770ba018d0a,BancaMTranAAJIAAUI_TT,,,BancaMTranAAJIAAUI_TT,false,false,exec,EXEC,true,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,493,,cf88a0ebea8bf362757fa0bc3aaf9abd546c4d4a,BancaNoAAUI_TM,,,BancaNoAAUI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,503,GetNIKFromBancaNoAAJITMByAAUIANDNIK,cf88a0ebea8bf362757fa0bc3aaf9abd546c4d4a,BancaNoAAUI_TM,,,BancaNoAAUI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,525,,a6de6b7a9e8e75b86bed7c4064b9d637f5a30c5e,BancaNoAAJI_TM,,,BancaNoAAJI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,535,GetNIKFromBancaNoAAUITMByAAJIANDNIK,a6de6b7a9e8e75b86bed7c4064b9d637f5a30c5e,BancaNoAAJI_TM,,,BancaNoAAJI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,557,,f3860bd8363f4c1b31aa319f192df22b84c49621,SQL_Employee.dbo.PSEmployee_v,SQL_Employee,dbo,PSEmployee_v,true,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,567,GetNameAndJobTitleByNIK,f3860bd8363f4c1b31aa319f192df22b84c49621,SQL_Employee.dbo.PSEmployee_v,SQL_Employee,dbo,PSEmployee_v,true,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,589,,ff975a72c42e1c69f611fd9a1134dc9a49c39d4c,BancaMTranAAJIAAUI_TT,,,BancaMTranAAJIAAUI_TT,false,false,exec,EXEC,true,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,589,,ff975a72c42e1c69f611fd9a1134dc9a49c39d4c,dXML,,,dXML,false,false,exec,EXEC,true,false
